GeneID	Control_1	Control_2	Erb1KO_1	Erb1KO_2
LOC100288069	2	3	3	1
LOC100288077	0	0	0	0
LOC100288079	0	0	0	0
LOC100288122	0	0	0	0
LOC100288123	0	1	0	0
LOC100288181	94	55	123	70
LOC100288198	87	77	108	106
LOC100288255	0	0	0	0
LOC100288346	0	0	0	0
LOC100288413	189	164	223	132
LOC100288428	49	46	57	35
LOC100288432	0	3	4	2
LOC100288524	0	0	0	0
LOC100288570	0	0	0	0
LOC100288615	45	23	59	28
LOC100288637	157	128	413	241
LOC100288748	223	197	172	173
LOC100288778	167	166	142	103
LOC100288797	0	0	0	0
LOC100288814	5	2	5	3
LOC100288842	54	30	69	45
LOC100288846	129	122	158	113
LOC100288911	62	53	35	37
LOC100288974	1	0	0	0
LOC100289019	102	143	157	96
LOC100289178	6	6	12	6
LOC100289187	0	0	0	0
LOC100289211	3	4	12	6
LOC100289230	43	34	47	41
LOC100289255	1	1	1	0
LOC100289341	176	149	97	110
LOC100289361	105	95	97	78
LOC100289473	0	0	0	0
LOC100289495	155	180	120	99
LOC100289511	2	3	4	4
LOC100289561	14	3	6	10
LOC100289650	0	0	0	0
LOC100289656	0	0	0	0
LOC100289673	0	0	3	1
LOC100292680	1	2	2	1
LOC100293516	284	230	306	218
LOC100293534	0	0	0	0
LOC100294145	1087	1039	1482	976
LOC100294362	22	12	15	7
LOC100302401	20	21	27	25
LOC100302640	2	9	3	3
LOC100302650	7	10	4	4
LOC100303728	91	75	72	51
LOC100303749	0	0	0	0
LOC100306951	865	760	576	532
LOC100306975	2	3	0	1
LOC100329109	51	59	76	63
LOC100329135	0	0	0	0
LOC100335030	32	30	38	44
LOC100379224	39	28	55	33
LOC100422737	0	0	0	0
LOC100498859	0	0	0	1
LOC100499177	523	465	812	557
LOC100499183	13	9	10	12
LOC100499194	0	0	0	0
LOC100499227	15	15	9	19
LOC100499405	0	0	0	0
LOC100499466	17330	14984	18557	13091
LOC100499467	9	3	6	7
LOC100499484	53	41	68	46
LOC100499489	232	196	239	170
LOC100500773	0	1	0	2
LOC100500938	0	0	0	0
LOC100505474	0	0	0	0
LOC100505478	0	0	1	0
LOC100505483	77	63	46	41
LOC100505495	11	9	6	7
LOC100505536	0	0	0	0
LOC100505540	0	0	0	0
LOC100505545	2	0	0	0
LOC100505549	31	29	30	23
LOC100505576	3	5	5	8
LOC100505583	0	0	0	0
LOC100505619	0	0	0	0
LOC100505622	0	0	0	0
LOC100505624	0	0	0	0
LOC100505633	1	0	0	0
LOC100505648	145	121	148	66
LOC100505658	0	0	0	0
LOC100505659	0	0	0	0
LOC100505666	96	102	82	54
LOC100505676	3	3	5	2
LOC100505678	4	1	4	6
LOC100505681	64	44	34	17
LOC100505687	273	230	404	300
LOC100505702	1	0	4	3
LOC100505715	77	71	128	53
LOC100505716	0	0	0	0
LOC100505718	0	0	0	0
LOC100505738	138	151	177	127
LOC100505746	42	33	46	14
LOC100505761	1041	936	1023	740
LOC100505768	0	0	0	0
LOC100505776	0	0	0	0
LOC100505782	0	0	0	0
LOC100505783	434	365	424	399
LOC100505795	0	0	0	0
LOC100505812	67	53	72	42
LOC100505817	0	0	0	0
LOC100505826	58	37	50	41
LOC100505832	0	0	0	0
LOC100505835	0	0	0	0
LOC100505839	0	0	0	0
LOC100505841	0	0	0	0
LOC100505854	524	486	339	296
LOC100505875	0	1	0	0
LOC100505876	2023	1739	2660	1923
LOC100505881	2	0	1	1
LOC100505893	0	0	0	0
LOC100505894	2	16	21	10
LOC100505912	1	0	1	0
LOC100505918	0	0	0	1
LOC100505933	0	0	0	0
LOC100505964	0	0	0	0
LOC100505967	3	6	1	3
LOC100505978	3	1	0	0
LOC100505989	45	43	46	33
LOC100506012	4	8	1	1
LOC100506013	0	0	0	0
LOC100506023	32	15	26	23
LOC100506025	0	0	0	0
LOC100506033	18	11	12	9
LOC100506035	0	0	0	0
LOC100506046	19	17	17	14
LOC100506049	0	0	0	0
LOC100506050	0	0	0	0
LOC100506054	323	270	324	192
LOC100506068	1	0	1	2
LOC100506071	1	0	1	3
LOC100506083	50	57	80	63
LOC100506085	0	0	0	0
LOC100506122	0	0	0	0
LOC100506123	0	0	0	0
LOC100506134	0	0	0	0
LOC100506136	6	8	12	11
LOC100506172	0	0	0	0
LOC100506178	2	1	1	1
LOC100506190	4022	3722	3376	2442
LOC100506195	0	0	0	0
LOC100506207	124	82	98	92
LOC100506229	1	1	1	0
LOC100506233	280	262	362	260
LOC100506241	0	0	0	0
LOC100506274	0	0	0	0
LOC100506305	0	0	0	0
LOC100506314	175	171	217	137
LOC100506334	6	8	13	6
LOC100506343	7	23	23	5
LOC100506368	133	120	128	96
LOC100506384	0	0	0	0
LOC100506385	0	3	0	0
LOC100506388	0	0	0	0
LOC100506393	0	0	0	0
LOC100506394	29	28	44	27
LOC100506409	0	0	0	0
LOC100506421	0	0	0	0
LOC100506422	0	0	0	0
LOC100506428	363	392	415	269
LOC100506433	507	462	493	381
LOC100506436	5	2	8	4
LOC100506451	73	92	67	69
LOC100506462	0	0	0	1
LOC100506469	167	192	252	131
LOC100506472	4	3	6	7
LOC100506474	0	0	0	0
LOC100506497	15	8	12	11
LOC100506540	39	32	42	40
LOC100506548	3216	2710	1390	1207
LOC100506585	0	0	0	0
LOC100506599	172	152	159	121
LOC100506649	357	296	215	155
LOC100506655	0	1	0	0
LOC100506660	33	12	24	22
LOC100506668	507	466	346	241
LOC100506686	338	292	446	264
LOC100506688	0	0	0	0
LOC100506710	4500	3694	5552	4563
LOC100506713	107	104	95	74
LOC100506714	262	302	398	274
LOC100506730	150	135	164	83
LOC100506733	0	0	0	0
LOC100506746	70	64	96	53
LOC100506757	13	17	17	16
LOC100506776	10	3	9	5
LOC100506779	7	6	7	10
LOC100506783	0	1	0	0
LOC100506795	1	2	0	0
LOC100506801	0	0	0	0
LOC100506804	36	35	44	18
LOC100506810	129	139	103	54
LOC100506835	0	0	0	0
LOC100506844	228	196	187	185
LOC100506866	362	323	413	235
LOC100506874	14	10	6	7
LOC100506888	0	0	0	0
LOC100506895	0	0	0	0
LOC100506930	8	9	10	13
LOC100506939	0	0	0	0
LOC100506963	99	82	93	68
LOC100506990	59	56	38	33
LOC100506994	387	317	774	561
LOC100507003	0	0	0	0
LOC100507032	56	49	42	27
LOC100507034	12	6	11	15
LOC100507043	0	1	4	0
LOC100507053	13	15	16	8
LOC100507055	0	0	0	0
LOC100507062	32	40	61	39
LOC100507064	0	0	0	0
LOC100507086	27	28	23	22
LOC100507091	0	0	0	0
LOC100507096	0	0	0	0
LOC100507127	0	0	0	0
LOC100507140	2	2	0	2
LOC100507156	0	0	0	0
LOC100507170	0	0	0	0
LOC100507173	77	53	60	29
LOC100507178	12	14	9	4
LOC100507194	0	0	0	0
LOC100507205	0	0	0	0
LOC100507206	0	0	0	0
LOC100507217	1836	1491	1819	1649
LOC100507218	2	7	4	5
LOC100507240	3	4	3	0
LOC100507244	0	1	0	0
LOC100507246	3532	3257	3410	2654
LOC100507250	27	17	19	13
LOC100507254	0	0	0	0
LOC100507266	36	28	24	22
LOC100507299	29	17	20	13
LOC100507300	0	0	0	0
LOC100507321	397	393	391	219
LOC100507331	11	13	18	3
LOC100507334	0	0	0	0
LOC100507341	0	0	0	0
LOC100507346	0	0	0	0
LOC100507351	0	0	0	0
LOC100507362	0	0	0	0
LOC100507377	0	0	0	0
LOC100507387	0	0	0	0
LOC100507389	0	0	0	0
LOC100507391	2	1	2	0
LOC100507392	0	0	0	0
LOC100507401	44	36	17	18
LOC100507404	1	0	0	0
LOC100507410	0	0	0	0
LOC100507412	0	0	0	0
LOC100507421	2407	2092	2681	1683
LOC100507423	0	0	0	0
LOC100507424	41	32	31	20
LOC100507433	0	1	5	3
LOC100507443	0	0	0	0
LOC100507462	9	4	14	7
LOC100507463	62	33	199	95
LOC100507466	1	1	2	1
LOC100507470	0	0	0	0
LOC100507489	3	5	8	5
LOC100507495	67	60	93	56
LOC100507501	287	287	342	241
LOC100507537	0	0	0	0
LOC100507547	223	218	169	147
LOC100507557	2	5	9	10
LOC100507564	195	132	143	115
LOC100507567	218	210	145	100
LOC100507577	135	135	207	144
LOC100507582	15	15	8	4
LOC100507584	25	25	15	6
LOC100507589	18	12	14	7
LOC100507605	0	0	0	0
LOC100507629	0	0	0	1
LOC100507632	0	0	0	0
LOC100507634	34	26	43	25
LOC100507651	0	0	1	0
LOC100509575	0	0	0	0
LOC100526771	0	0	0	0
LOC100526820	7	8	9	7
LOC100527964	414	419	558	358
LOC100616530	2	0	4	1
LOC100616668	21	23	29	17
LOC100628307	0	0	1	0
LOC100630917	0	1	0	0
LOC100630918	173	153	113	111
LOC100630923	0	0	0	0
LOC100631378	0	0	0	0
LOC113230	850	782	590	388
LOC115110	0	0	0	0
LOC116437	0	0	0	0
LOC120824	0	0	0	0
LOC121952	0	0	0	0
LOC126536	0	0	0	0
LOC127841	3	2	3	1
LOC139201	185	129	163	102
LOC143188	19	18	26	15
LOC143666	120	111	90	55
LOC144438	1558	1313	2040	1453
LOC144481	0	0	0	0
LOC144486	32	25	26	17
LOC144571	24	32	34	16
LOC144742	0	0	0	0
LOC144776	0	0	0	0
LOC144817	0	0	0	0
LOC145216	4	5	10	3
LOC145474	0	1	0	0
LOC145663	0	0	0	0
LOC145783	52	34	44	38
LOC145820	0	0	0	0
LOC145837	1481	1229	1067	678
LOC145845	0	0	0	0
LOC146336	0	0	0	0
LOC146481	3	2	2	1
LOC146513	0	0	0	0
LOC146880	768	720	802	518
LOC147093	0	0	0	0
LOC147646	0	0	0	1
LOC147670	0	0	0	0
LOC147727	1591	1380	1394	1101
LOC147804	225	196	279	197
LOC148145	0	0	0	0
LOC148189	226	191	212	185
LOC148413	706	627	558	395
LOC148696	0	0	0	0
LOC148709	95	107	126	71
LOC148824	0	0	0	0
LOC149086	0	0	0	0
LOC149134	17	8	12	8
LOC149773	2	6	4	1
LOC149837	0	0	1	0
LOC149950	0	0	0	0
LOC150185	0	0	0	0
LOC150197	0	0	0	0
LOC150381	294	275	287	251
LOC150527	0	0	0	0
LOC150568	3	0	3	2
LOC150622	1	0	0	0
LOC150776	273	273	308	235
LOC150935	0	0	0	0
LOC151009	0	0	0	0
LOC151162	2052	1790	2274	1433
LOC151171	0	0	0	0
LOC151174	0	0	0	0
LOC151300	0	0	0	0
LOC151475	0	1	0	0
LOC151484	0	0	0	0
LOC151534	264	244	206	168
LOC151658	0	0	0	0
LOC152024	0	0	0	1
LOC152217	1187	1064	985	712
LOC152225	0	0	0	2
LOC152578	0	0	0	0
LOC152742	0	2	0	0
LOC153469	0	0	0	0
LOC153684	756	667	667	431
LOC153910	0	0	0	0
LOC154092	0	0	0	0
LOC154449	0	1	0	0
LOC154761	7	14	5	1
LOC154822	2	0	1	0
LOC154860	70	57	93	56
LOC154872	0	0	0	0
LOC155060	157	138	169	95
LOC157273	0	0	0	0
LOC157381	0	0	0	0
LOC157627	0	0	0	0
LOC158376	0	0	0	0
LOC158435	1	0	0	0
LOC158572	50	51	44	32
LOC158696	0	1	0	0
LOC162632	6	3	3	3
LOC170425	32	26	37	20
LOC1720	0	0	0	0
LOC199899	1	0	1	1
LOC200261	0	0	0	0
LOC200726	0	0	0	0
LOC200772	0	0	0	0
LOC201477	0	0	0	0
LOC201617	3	3	3	3
LOC201651	0	0	0	0
LOC202181	187	174	199	133
LOC202781	630	646	687	542
LOC219347	250	178	254	143
LOC219731	1	6	8	1
LOC220594	55	89	111	58
LOC220729	225	186	266	142
LOC220906	1348	1227	1773	1021
LOC220980	0	0	0	0
LOC221122	0	0	0	0
LOC221442	36	41	76	52
LOC221710	791	613	899	782
LOC253039	1805	1600	2045	1630
LOC253044	0	0	0	0
LOC253264	1	0	0	1
LOC253573	0	0	0	0
LOC253962	0	0	0	0
LOC254099	0	0	0	0
LOC254100	59	45	52	45
LOC254128	218	204	187	111
LOC254312	0	0	0	0
LOC254559	1300	1152	1378	855
LOC255025	0	0	0	0
LOC255130	0	0	0	0
LOC255167	0	0	0	0
LOC255411	0	0	0	0
LOC255480	0	0	0	0
LOC255512	152	108	94	107
LOC255654	0	1	0	0
LOC256880	6	3	8	3
LOC257358	1	0	0	0
LOC257396	189	168	156	124
LOC282980	0	0	0	0
LOC282997	170	186	253	168
LOC283033	0	0	0	0
LOC283038	0	0	1	0
LOC283050	8	3	7	6
LOC283070	106	108	106	83
LOC283089	3	2	3	1
LOC283104	56	46	52	57
LOC283116	0	0	0	0
LOC283143	0	0	0	0
LOC283174	139	164	215	107
LOC283177	0	1	0	0
LOC283194	0	0	0	0
LOC283299	0	0	0	0
LOC283332	0	0	0	0
LOC283335	2842	2732	2432	1474
LOC283392	0	0	0	0
LOC283403	1	3	4	1
LOC283404	11	5	13	10
LOC283432	0	0	0	0
LOC283440	0	1	0	0
LOC283480	0	0	0	0
LOC283481	0	0	0	0
LOC283547	18	9	10	5
LOC283553	1	0	0	0
LOC283585	0	0	0	0
LOC283624	139	153	232	149
LOC283663	7	5	10	5
LOC283683	3	5	1	6
LOC283688	0	0	0	0
LOC283693	9	1	9	4
LOC283731	0	0	0	0
LOC283738	0	0	0	0
LOC283761	0	0	0	0
LOC283788	0	0	0	0
LOC283856	0	0	0	0
LOC283867	0	2	1	0
LOC283875	1	0	1	1
LOC283888	1	1	0	0
LOC283914	0	0	0	0
LOC283922	158	160	204	141
LOC284009	4	6	8	2
LOC284023	142	115	142	129
LOC284080	2	2	3	2
LOC284100	1	0	1	0
LOC284215	0	0	0	1
LOC284233	19	16	20	17
LOC284276	14	13	11	5
LOC284294	0	0	0	0
LOC284344	1	1	1	0
LOC284379	7	6	2	1
LOC284385	291	225	203	148
LOC284395	0	0	0	0
LOC284408	157	112	168	136
LOC284412	0	0	0	0
LOC284440	89	68	97	66
LOC284454	44	42	55	25
LOC284551	1	2	0	0
LOC284576	3	3	0	1
LOC284578	3	1	1	2
LOC284632	0	0	0	3
LOC284648	93	106	108	64
LOC284661	0	0	0	0
LOC284688	0	0	0	0
LOC284749	1	2	3	1
LOC284751	1	5	13	2
LOC284788	0	0	0	0
LOC284798	0	0	0	0
LOC284801	15	4	1	9
LOC284837	0	0	0	0
LOC284865	0	0	0	0
LOC284889	76	51	57	30
LOC284933	0	0	0	0
LOC284950	0	0	0	0
LOC284998	1	0	0	0
LOC285000	0	0	0	0
LOC285033	14	11	28	19
LOC285045	0	0	0	0
LOC285074	71	57	74	42
LOC285084	4	5	7	1
LOC285103	1	3	0	2
LOC285205	0	0	0	0
LOC285326	0	0	0	0
LOC285359	39	35	28	26
LOC285370	0	0	0	0
LOC285375	0	0	0	0
LOC285401	0	0	0	0
LOC285419	0	0	1	0
LOC285441	5	2	4	1
LOC285456	1	0	1	1
LOC285484	1	0	1	0
LOC285501	0	1	1	0
LOC285540	21	30	20	18
LOC285547	0	0	0	0
LOC285548	0	0	0	0
LOC285577	0	0	0	0
LOC285593	0	1	0	0
LOC285626	0	0	0	0
LOC285627	0	0	0	0
LOC285629	0	0	0	0
LOC285692	0	0	0	0
LOC285696	8	11	6	3
LOC285733	0	0	1	0
LOC285740	0	0	0	0
LOC285758	0	0	0	0
LOC285768	0	0	0	0
LOC285796	0	0	0	0
LOC285819	1	0	0	1
LOC285847	0	0	0	0
LOC285878	0	0	2	0
LOC285889	2	0	0	1
LOC285954	11	12	11	5
LOC285965	0	0	1	0
LOC285972	0	0	0	0
LOC286002	2	1	4	2
LOC286059	1	2	7	0
LOC286083	0	0	0	0
LOC286094	0	0	0	0
LOC286114	0	0	0	0
LOC286135	0	0	0	0
LOC286177	0	0	0	0
LOC286184	0	0	0	0
LOC286186	0	0	0	0
LOC286189	0	0	0	0
LOC286190	0	1	0	0
LOC286238	0	0	0	0
LOC286359	0	0	0	0
LOC286367	10	10	12	8
LOC286370	0	0	0	0
LOC286437	101	95	128	96
LOC286442	0	0	0	0
LOC286467	670	671	826	510
LOC338579	1	0	0	0
LOC338588	0	0	0	0
LOC338651	130	140	155	128
LOC338739	7	5	13	3
LOC338758	142	132	165	184
LOC338799	376	340	416	238
LOC338817	19	14	25	14
LOC338862	0	0	0	0
LOC338864	0	0	0	0
LOC338963	0	0	0	0
LOC339166	1	0	0	0
LOC339240	0	0	0	0
LOC339290	36	42	39	32
LOC339298	0	0	0	0
LOC339442	0	0	0	0
LOC339505	0	0	0	0
LOC339524	4	3	4	4
LOC339529	0	0	0	0
LOC339535	66	45	75	57
LOC339568	0	0	0	0
LOC339593	0	0	0	0
LOC339666	0	0	0	0
LOC339685	0	0	0	0
LOC339788	0	0	0	0
LOC339803	251	179	279	217
LOC339807	0	1	0	1
LOC339822	0	0	0	0
LOC339874	2	1	0	0
LOC339894	0	0	0	0
LOC339902	0	0	0	0
LOC339926	0	0	0	0
LOC339975	0	0	0	0
LOC340017	15	11	10	5
LOC340037	0	4	2	0
LOC340073	0	0	0	0
LOC340074	0	0	0	0
LOC340094	0	0	0	0
LOC340107	0	0	0	0
LOC340113	0	0	0	0
LOC340357	0	0	0	0
LOC340508	0	0	0	0
LOC340515	0	2	0	0
LOC340544	57	50	69	55
LOC341056	438	425	601	338
LOC342918	55	33	30	32
LOC344595	653	619	622	386
LOC344887	3	6	35	10
LOC344967	323	343	384	260
LOC347376	0	0	2	0
LOC347411	0	0	0	0
LOC348021	0	0	0	0
LOC348120	0	0	0	0
LOC348761	6	1	8	3
LOC348840	0	0	0	0
LOC349196	0	0	0	0
LOC374443	427	382	432	334
LOC374491	0	4	1	1
LOC375190	123	99	112	108
LOC375196	0	0	0	0
LOC375295	197	188	240	184
LOC386597	0	0	0	0
LOC386758	0	0	0	0
LOC387646	87	67	121	73
LOC387647	553	500	600	395
LOC387723	160	141	127	88
LOC387895	1	0	4	1
LOC388152	81	73	48	72
LOC388242	0	0	0	0
LOC388276	0	0	0	0
LOC388387	0	0	0	0
LOC388499	76	73	77	37
LOC388553	0	0	1	0
LOC388564	259	203	131	126
LOC388588	103	68	30	46
LOC388630	3	1	2	0
LOC388692	346	364	516	333
LOC388789	3014	2856	2616	2101
LOC388796	823	702	421	496
LOC388906	17	17	20	6
LOC388942	0	0	0	0
LOC388946	0	0	0	0
LOC388948	1	2	2	2
LOC389023	0	0	0	0
LOC389033	0	0	0	0
LOC389043	0	0	0	0
LOC389247	4	3	2	2
LOC389332	0	1	2	0
LOC389333	6	3	1	3
LOC389458	0	0	0	0
LOC389493	0	0	0	0
LOC389634	1	0	1	0
LOC389641	356	320	367	272
LOC389676	0	0	0	0
LOC389705	1	4	5	8
LOC389765	86	86	145	103
LOC389791	7	8	6	0
LOC389831	0	0	0	0
LOC389834	0	0	0	0
LOC389906	425	407	368	280
LOC390595	14	20	10	10
LOC390705	0	0	0	0
LOC390858	0	0	0	0
LOC390940	3	1	5	4
LOC391322	30	15	35	11
LOC392196	0	0	0	0
LOC392232	0	0	0	0
LOC392364	0	0	0	0
LOC399708	0	0	0	0
LOC399715	32	11	17	14
LOC399744	182	163	187	140
LOC399753	1	2	3	1
LOC399815	42	45	85	42
LOC399939	0	0	0	0
LOC399940	0	0	0	0
LOC400027	760	651	809	654
LOC400043	0	1	0	1
LOC400084	112	99	104	49
LOC400236	129	141	106	80
LOC400238	0	0	0	0
LOC400456	0	0	0	0
LOC400548	0	0	0	0
LOC400550	0	0	0	0
LOC400604	247	230	163	94
LOC400620	0	0	1	0
LOC400643	0	0	1	1
LOC400654	0	0	0	0
LOC400655	1	0	0	0
LOC400657	355	333	466	315
LOC400680	10	7	1	4
LOC400685	0	5	0	0
LOC400752	121	104	127	77
LOC400794	0	0	0	2
LOC400891	0	0	0	0
LOC400927	7	8	7	8
LOC400940	0	0	0	0
LOC400950	0	0	1	1
LOC400958	0	0	0	0
LOC400960	148	104	135	96
LOC401010	252	238	286	174
LOC401022	750	685	827	581
LOC401052	309	322	254	166
LOC401074	346	308	246	236
LOC401093	37	46	57	17
LOC401097	159	101	142	253
LOC401109	77	68	74	51
LOC401127	171	161	231	143
LOC401134	0	0	0	0
LOC401164	0	0	0	0
LOC401177	0	0	0	0
LOC401233	158	115	240	144
LOC401242	0	0	2	2
LOC401320	168	178	196	159
LOC401321	550	545	664	547
LOC401324	0	0	0	0
LOC401397	308	264	379	259
LOC401431	112	128	90	52
LOC401463	0	0	0	0
LOC401588	241	229	302	210
LOC401980	4	1	0	1
LOC402160	9	5	12	8
LOC402779	0	0	0	0
LOC404266	0	0	0	1
LOC407835	2441	2106	1888	1488
LOC415056	0	0	0	0
LOC439949	0	0	0	0
LOC439990	28	19	29	24
LOC439994	6	4	7	3
LOC440028	12	7	15	12
LOC440040	0	0	2	0
LOC440041	0	0	0	0
LOC440104	888	837	1056	528
LOC440117	0	0	0	0
LOC440131	0	0	0	0
LOC440173	5	8	13	12
LOC440288	169	191	188	152
LOC440297	0	0	0	0
LOC440300	2	0	0	0
LOC440335	1	2	8	2
LOC440354	54	68	52	61
LOC440356	9	6	2	6
LOC440419	0	0	0	0
LOC440434	160	137	201	136
LOC440461	39	16	23	18
LOC440518	0	0	0	0
LOC440563	1	1	3	0
LOC440600	5	8	5	4
LOC440700	2	2	2	3
LOC440704	0	0	0	0
LOC440895	0	0	0	0
LOC440896	0	0	0	0
LOC440900	0	0	0	0
LOC440905	102	92	113	98
LOC440910	0	0	1	0
LOC440925	25	28	21	19
LOC440926	0	0	0	0
LOC440944	778	780	977	843
LOC440970	0	0	0	0
LOC441009	0	1	0	0
LOC441025	0	0	0	0
LOC441177	8	4	5	1
LOC441204	3	8	11	4
LOC441208	35	22	15	26
LOC441242	13	9	8	4
LOC441454	1	0	0	1
LOC441455	128	105	115	72
LOC441461	42	44	44	28
LOC441495	0	0	0	0
LOC441601	1	0	3	2
LOC441617	0	0	0	0
LOC441666	2	9	18	15
LOC441869	0	0	0	0
LOC442028	1	0	1	2
LOC442132	0	0	0	0
LOC442421	9	8	9	4
LOC442454	243	210	172	147
LOC442459	48	42	34	40
LOC442497	0	0	0	0
LOC493754	889	792	746	569
LOC494127	79	70	66	55
LOC494141	1	1	2	0
LOC494558	0	0	0	0
LOC503519	0	0	0	0
LOC541471	278	302	262	167
LOC541473	0	0	0	0
LOC550112	645	582	573	438
LOC550643	1771	1661	1828	1433
LOC553103	61	43	36	22
LOC554201	0	0	0	0
LOC554202	0	0	0	0
LOC554206	155	138	155	97
LOC554223	3	4	9	5
LOC572558	0	0	0	0
LOC574538	0	0	0	0
LOC595101	9	3	1	6
LOC606724	0	0	0	0
LOC613037	0	4	2	4
LOC613038	0	0	0	0
LOC619207	119	109	84	42
LOC63930	0	0	0	0
LOC641298	12	14	16	44
LOC641364	0	2	1	0
LOC641365	1	0	1	0
LOC641367	54	48	55	46
LOC641467	4	7	12	13
LOC641515	7	9	3	2
LOC641518	3	0	2	2
LOC641746	0	0	0	0
LOC642236	8	6	18	15
LOC642345	0	2	1	0
LOC642361	37	33	27	26
LOC642587	28	26	16	14
LOC642826	0	0	0	0
LOC642846	40	29	76	33
LOC642852	887	820	746	490
LOC642924	2	5	0	6
LOC642929	0	0	0	0
LOC643037	0	0	0	0
LOC643201	11	15	23	12
LOC643339	11	5	7	8
LOC643387	54	30	29	28
LOC643401	64	75	40	32
LOC643406	0	0	0	0
LOC643441	3	0	1	0
LOC643486	0	0	0	0
LOC643529	106	115	137	74
LOC643542	0	0	0	0
LOC643623	0	1	0	0
LOC643650	0	0	0	2
LOC643669	14	11	5	11
LOC643714	2	0	0	0
LOC643719	6	11	7	2
LOC643723	0	3	0	0
LOC643733	0	0	0	0
LOC643770	2	0	1	3
LOC643802	11	4	16	13
LOC643837	89	76	72	74
LOC643923	0	0	1	0
LOC643955	0	0	0	0
LOC643988	1012	850	648	504
LOC644100	0	0	0	0
LOC644145	0	0	0	0
LOC644172	43	57	46	31
LOC644189	16	15	20	10
LOC644242	0	0	0	0
LOC644246	24	30	18	21
LOC644538	1	1	2	0
LOC644554	0	0	0	0
LOC644649	71	72	89	37
LOC644656	67	61	53	55
LOC644669	0	0	0	0
LOC644714	22	19	17	11
LOC644838	0	0	0	0
LOC644936	2	11	7	7
LOC644961	4219	3552	2999	2643
LOC645158	24	22	29	25
LOC645166	16	27	18	14
LOC645206	0	0	1	2
LOC645212	209	172	200	112
LOC645249	555	456	401	331
LOC645323	41	47	51	43
LOC645355	0	0	0	0
LOC645431	1037	1026	722	549
LOC645434	0	0	0	0
LOC645513	353	276	358	209
LOC645591	0	0	0	0
LOC645638	4	9	44	26
LOC645676	101	105	123	79
LOC645752	0	0	0	0
LOC645781	15	13	4	4
LOC645949	0	0	0	0
LOC646096	0	0	0	0
LOC646168	0	0	0	0
LOC646214	1033	896	1336	801
LOC646268	0	0	0	0
LOC646278	6	5	3	4
LOC646324	0	1	3	0
LOC646329	48	58	62	39
LOC646471	4	9	3	2
LOC646498	0	0	0	0
LOC646508	0	0	0	0
LOC646576	0	1	0	0
LOC646627	0	0	0	0
LOC646743	0	0	0	0
LOC646762	752	599	773	616
LOC646813	1	0	0	0
LOC646851	67	69	79	60
LOC646862	1	0	1	0
LOC646903	32	24	43	15
LOC646938	0	0	0	0
LOC646999	1	0	3	2
LOC647012	0	0	0	0
LOC647107	0	0	0	0
LOC647323	4	3	2	4
LOC647589	0	0	0	0
LOC647859	1	0	4	1
LOC647946	26	13	50	36
LOC647979	7759	6251	9808	8013
LOC648691	0	0	0	0
LOC648740	17	13	14	12
LOC648809	0	1	1	0
LOC648987	1758	1539	1767	1174
LOC649133	0	0	0	0
LOC649330	0	0	0	0
LOC649395	166	131	183	125
LOC650226	0	0	0	0
LOC650293	0	0	0	0
LOC650368	0	0	0	0
LOC650623	0	0	0	0
LOC650794	191	176	169	164
LOC652276	157	130	170	89
LOC653061	0	0	0	0
LOC653075	0	0	0	0
LOC653160	38	42	24	21
LOC653486	0	0	0	0
LOC653501	0	0	0	0
LOC653513	0	0	0	0
LOC653550	0	0	0	0
LOC653566	1870	1500	2036	1500
LOC653653	94	82	92	80
LOC653712	4	9	10	8
LOC653786	0	0	0	0
LOC654342	73	60	62	43
LOC654433	396	359	400	250
LOC678655	187	179	161	115
LOC723809	1	0	2	0
LOC723972	474	423	514	402
LOC727677	0	0	0	0
LOC727710	4	6	5	1
LOC727849	0	0	0	0
LOC727896	94	88	127	87
LOC727924	0	0	0	0
LOC727982	0	0	0	0
LOC728012	0	0	0	0
LOC728024	155	162	184	129
LOC728066	0	0	0	0
LOC728084	0	0	1	0
LOC728175	4	4	5	1
LOC728190	168	119	124	111
LOC728192	13	15	9	6
LOC728228	0	0	0	0
LOC728264	0	0	0	0
LOC728276	0	0	0	0
LOC728323	40	39	46	29
LOC728369	0	0	0	0
LOC728373	0	0	0	0
LOC728377	41	47	63	40
LOC728379	0	0	0	0
LOC728392	5	1	2	4
LOC728393	0	0	0	0
LOC728400	0	0	0	0
LOC728405	0	0	0	0
LOC728407	0	0	0	0
LOC728431	403	384	433	316
LOC728537	5	5	7	6
LOC728554	273	257	340	227
LOC728558	17	21	35	14
LOC728606	1	0	0	0
LOC728613	100	84	118	76
LOC728622	1053	1005	893	758
LOC728640	23	12	60	22
LOC728643	0	2	1	0
LOC728716	0	0	0	0
LOC728723	94	64	94	60
LOC728724	0	0	0	0
LOC728730	134	129	140	98
LOC728739	150	109	137	115
LOC728743	99	115	90	93
LOC728752	52	37	48	38
LOC728758	153	155	132	114
LOC728819	86	88	115	85
LOC728855	4	2	0	1
LOC728875	0	0	0	0
LOC728978	10	6	8	10
LOC728989	14	4	13	12
LOC729013	154	164	249	165
LOC729020	314	284	310	214
LOC729059	0	1	3	2
LOC729080	5	5	9	5
LOC729082	1172	896	1366	936
LOC729121	0	0	0	0
LOC729156	7	11	14	4
LOC729176	163	126	245	180
LOC729177	0	0	0	0
LOC729178	8	7	7	7
